Animal,Symptoms,Disease,Explanation,Precautions
Dog,fever vomiting lethargy loss appetite,Parvovirus,"Canine parvovirus is a highly contagious viral disease that attacks the intestinal tract and immune system. It is most severe in puppies and can be fatal without treatment.","Isolate immediately, provide fluid therapy, antibiotics for secondary infections, keep warm, seek vet care"
Dog,coughing nasal discharge breathing difficulty,Distemper,"Canine distemper is a viral disease affecting the respiratory, gastrointestinal, and nervous systems. It spreads through airborne particles and is often fatal.","Vaccinate puppies, isolate sick dogs, supportive care, antibiotics for secondary infections"
Dog,excessive thirst urination weight loss,Diabetes,"Diabetes mellitus occurs when the pancreas fails to produce enough insulin. Common in older and obese dogs.","Maintain healthy weight, regular vet checkups, insulin therapy as prescribed"
Dog,limping lameness joint swelling,Arthritis,"Arthritis is inflammation of joints causing pain and reduced mobility. Common in older dogs.","Weight management, joint supplements, pain medication, physiotherapy"
Dog,skin redness itching hair loss,Allergies,"Environmental or food allergies cause skin irritation, itching, and secondary infections.","Identify allergens, antihistamines, special diet, topical treatments"
Dog,vomiting diarrhea blood loss appetite,Parvovirus,"Canine parvovirus causes severe gastrointestinal symptoms and can be fatal, especially in puppies.","Immediate vet care, fluid therapy, isolation from other dogs"
Dog,seizures tremors weakness collapse,Epilepsy,"Epilepsy is a neurological disorder causing recurrent seizures. Can be genetic or caused by other conditions.","Medication to control seizures, keep safe environment, regular vet monitoring"
Dog,eye discharge redness squinting,Conjunctivitis,"Inflammation of the eye membrane caused by bacteria, viruses, or allergies.","Clean eyes with warm water, antibiotic eye drops, identify underlying cause"
Dog,ear odor head shaking scratching ears,Ear Infection,"Bacterial or yeast infection in the ear canal causing discomfort and odor.","Clean ears regularly, antibiotic ear drops, identify allergens"
Dog,bad breath gum bleeding drooling,Periodontal Disease,"Dental disease caused by plaque buildup affecting gums and teeth.","Regular teeth cleaning, dental chews, vet dental checks"
Cat,fever lethargy swollen lymph nodes,FeLV,"Feline leukemia virus weakens the immune system and causes various cancers and anemia.","Test for FeLV, keep infected cats indoors, no vaccination available"
Cat,upper respiratory sneezing nasal discharge,Feline URI,"Upper respiratory infection common in cats caused by viruses or bacteria.","Keep cat indoors, vaccination, supportive care, antibiotics"
Cat,vomiting hairball loss appetite,Hairball Obstruction,"Hairballs form from grooming and can cause intestinal blockages.","Regular grooming, hairball remedy food, encourage water intake"
Cat,excessive urination thirst weight loss,Feline Diabetes,"Similar to canine diabetes, caused by insufficient insulin production.","Diet management, insulin injections, regular vet monitoring"
Cat,scratching ears head shaking,Ear Mites,"Parasitic mites in the ear canal causing intense itching.","Ear cleaning, prescription ear drops, treat all pets"
Cow,milk fever weakness collapse,Milk Fever,"Metabolic disease in dairy cows caused by low blood calcium after calving.","Calcium supplementation before and after calving, proper nutrition"
Cow,bloody milk fever lameness,Mastitis,"Bacterial infection of the udder causing inflammation and milk abnormalities.","Regular milking hygiene, dry cow therapy, treat immediately"
